t0: 0.976 day
velocity temperature densities electron_densities H He C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Ba Cl35 Cl36 Cl37 Ar36 Ar37 Ar38 Ar39 Ar40 Ar41 K37 K38 K39 K40 K41 K42 K43 Ca40 Ca41 Ca42 Ca43 Ca44 Ca45 Ca46 Sc41 Sc42 Sc43 Sc44 Sc45 Sc46 Sc47 Ti43 Ti44 Ti45 Ti46 Ti47 Ti48 Ti49 Ti50 V45 V46 V47 V48 V49 V50 V51 V52 Cr45 Cr46 Cr47 Cr48 Cr49 Cr50 Cr51 Cr52 Cr53 Cr54 Cr55 Cr56 Cr57 Cr58 Cr59 Mn49 Mn50 Mn51 Mn52 Mn53 Mn54 Mn55 Mn56 Mn57 Mn58 Mn59 Mn60 Fe50 Fe51 Fe52 Fe53 Fe54 Fe55 Fe56 Fe57 Fe58 Fe59 Fe60 Fe61 Fe62 Co53 Co54 Co55 Co56 Co57 Co58 Co59 Co60 Co61 Ni55 Ni56 Ni57 Ni58 Ni59 Ni60 Ni61 Ni62 Ni63 Ni64
km/s K gm/cm^3 /cm^3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
871.66905 76395.577 4.2537191e-09 2.5953807e+14 0.0 0.0 3.0465605e-10 0.0 3.1704419e-09 0.0 1.4222194e-13 1.1725321e-16 4.106599e-09 8.441303e-14 0.00032795373 0.0 0.00023234415 1.9825387e-09 5.3525873e-05 6.072816e-09 7.1898562e-05 1.8428447e-08 0.0038400822 0.0013783053 0.26568848 0.016424846 0.58342319 0.013885696 0.11433147 0.0 1.5187759e-09 3.7605367e-12 4.6000231e-10 5.3400129e-05 2.6676321e-09 1.22952e-07 3.6183729e-12 1.2082869e-10 2.8021248e-19 0.0 0.0 6.0631876e-09 1.5575833e-12 7.6368576e-12 1.591326e-14 4.180101e-13 7.1844229e-05 1.4951236e-09 9.7641473e-09 4.3774169e-11 1.7630769e-08 3.1700188e-10 2.5081941e-08 1.0129805e-20 1.7949061e-14 3.79058e-14 4.2261172e-13 1.7693844e-10 1.0905552e-10 1.8141975e-08 1.8899052e-16 5.4832171e-08 1.1860242e-09 4.0207221e-07 3.2644248e-08 2.2675997e-05 6.0851333e-06 0.0038108303 5.9962994e-20 3.7181905e-12 1.5706691e-09 1.7836408e-06 1.2099207e-06 4.5252379e-07 0.001369765 5.0926634e-06 0.0 0.0 2.9191204e-13 1.6247336e-06 6.7354643e-17 0.0002179561 4.3849278e-05 0.22526753 0.0036002388 0.036556708 5.4408601e-07 2.8277701e-08 0.0 0.0 0.0 9.4294726e-17 1.1594328e-10 2.0355318e-15 1.4669703e-06 0.0016880209 0.00011156471 0.01459712 1.9063898e-05 7.6095346e-06 1.1819755e-10 1.9248239e-12 1.4195582e-20 0.0 3.2641782e-12 3.2895832e-05 6.6527658e-05 0.085186389 0.0087703319 0.36876065 0.0060596517 0.11452774 1.0647236e-05 8.3574213e-06 2.0153644e-12 2.2454595e-12 6.4640472e-19 7.4549049e-09 0.00035394101 0.0025308882 0.003277393 5.0000735e-05 0.0076581588 1.5303922e-05 3.1853295e-09 0.0 0.020970405 0.00083572625 0.032256207 0.00078089098 0.020415659 0.0005887819 0.038213969 2.1269681e-05 0.00024856014
877.44269 76395.577 4.2537191e-09 2.5953807e+14 0.0 0.0 3.0465605e-10 0.0 3.1704419e-09 0.0 1.4222194e-13 1.1725321e-16 4.106599e-09 8.441303e-14 0.00032795373 0.0 0.00023234415 1.9825387e-09 5.3525873e-05 6.072816e-09 7.1898562e-05 1.8428447e-08 0.0038400822 0.0013783053 0.26568848 0.016424846 0.58342319 0.013885696 0.11433147 0.0 1.5187759e-09 3.7605367e-12 4.6000231e-10 5.3400129e-05 2.6676321e-09 1.22952e-07 3.6183729e-12 1.2082869e-10 2.8021248e-19 0.0 0.0 6.0631876e-09 1.5575833e-12 7.6368576e-12 1.591326e-14 4.180101e-13 7.1844229e-05 1.4951236e-09 9.7641473e-09 4.3774169e-11 1.7630769e-08 3.1700188e-10 2.5081941e-08 1.0129805e-20 1.7949061e-14 3.79058e-14 4.2261172e-13 1.7693844e-10 1.0905552e-10 1.8141975e-08 1.8899052e-16 5.4832171e-08 1.1860242e-09 4.0207221e-07 3.2644248e-08 2.2675997e-05 6.0851333e-06 0.0038108303 5.9962994e-20 3.7181905e-12 1.5706691e-09 1.7836408e-06 1.2099207e-06 4.5252379e-07 0.001369765 5.0926634e-06 0.0 0.0 2.9191204e-13 1.6247336e-06 6.7354643e-17 0.0002179561 4.3849278e-05 0.22526753 0.0036002388 0.036556708 5.4408601e-07 2.8277701e-08 0.0 0.0 0.0 9.4294726e-17 1.1594328e-10 2.0355318e-15 1.4669703e-06 0.0016880209 0.00011156471 0.01459712 1.9063898e-05 7.6095346e-06 1.1819755e-10 1.9248239e-12 1.4195582e-20 0.0 3.2641782e-12 3.2895832e-05 6.6527658e-05 0.085186389 0.0087703319 0.36876065 0.0060596517 0.11452774 1.0647236e-05 8.3574213e-06 2.0153644e-12 2.2454595e-12 6.4640472e-19 7.4549049e-09 0.00035394101 0.0025308882 0.003277393 5.0000735e-05 0.0076581588 1.5303922e-05 3.1853295e-09 0.0 0.020970405 0.00083572625 0.032256207 0.00078089098 0.020415659 0.0005887819 0.038213969 2.1269681e-05 0.00024856014
894.99407 76395.631 4.2537191e-09 2.5953818e+14 0.0 0.0 3.0465605e-10 0.0 3.1704419e-09 0.0 1.4222194e-13 1.1725321e-16 4.106599e-09 8.441303e-14 0.00032795373 0.0 0.00023234415 1.9825387e-09 5.3525873e-05 6.072816e-09 7.1898562e-05 1.8428447e-08 0.0038400822 0.0013783053 0.26568848 0.016424846 0.58342319 0.013885696 0.11433147 0.0 1.5187759e-09 3.7605367e-12 4.6000231e-10 5.3400129e-05 2.6676321e-09 1.22952e-07 3.6183729e-12 1.2082869e-10 2.8021248e-19 0.0 0.0 6.0631876e-09 1.5575833e-12 7.6368576e-12 1.591326e-14 4.180101e-13 7.1844229e-05 1.4951236e-09 9.7641473e-09 4.3774169e-11 1.7630769e-08 3.1700188e-10 2.5081941e-08 1.0129805e-20 1.7949061e-14 3.79058e-14 4.2261172e-13 1.7693844e-10 1.0905552e-10 1.8141975e-08 1.8899052e-16 5.4832171e-08 1.1860242e-09 4.0207221e-07 3.2644248e-08 2.2675997e-05 6.0851333e-06 0.0038108303 5.9962994e-20 3.7181905e-12 1.5706691e-09 1.7836408e-06 1.2099207e-06 4.5252379e-07 0.001369765 5.0926634e-06 0.0 0.0 2.9191204e-13 1.6247336e-06 6.7354643e-17 0.0002179561 4.3849278e-05 0.22526753 0.0036002388 0.036556708 5.4408601e-07 2.8277701e-08 0.0 0.0 0.0 9.4294726e-17 1.1594328e-10 2.0355318e-15 1.4669703e-06 0.0016880209 0.00011156471 0.01459712 1.9063898e-05 7.6095346e-06 1.1819755e-10 1.9248239e-12 1.4195582e-20 0.0 3.2641782e-12 3.2895832e-05 6.6527658e-05 0.085186389 0.0087703319 0.36876065 0.0060596517 0.11452774 1.0647236e-05 8.3574213e-06 2.0153644e-12 2.2454595e-12 6.4640472e-19 7.4549049e-09 0.00035394101 0.0025308882 0.003277393 5.0000735e-05 0.0076581588 1.5303922e-05 3.1853295e-09 0.0 0.020970405 0.00083572625 0.032256207 0.00078089098 0.020415659 0.0005887819 0.038213969 2.1269681e-05 0.00024856014
931.1571 76396.057 4.2537191e-09 2.5953902e+14 0.0 0.0 3.0465605e-10 0.0 3.1704419e-09 0.0 1.4222194e-13 1.1725321e-16 4.106599e-09 8.441303e-14 0.00032795373 0.0 0.00023234415 1.9825387e-09 5.3525873e-05 6.072816e-09 7.1898562e-05 1.8428447e-08 0.0038400822 0.0013783053 0.26568848 0.016424846 0.58342319 0.013885696 0.11433147 0.0 1.5187759e-09 3.7605367e-12 4.6000231e-10 5.3400129e-05 2.6676321e-09 1.22952e-07 3.6183729e-12 1.2082869e-10 2.8021248e-19 0.0 0.0 6.0631876e-09 1.5575833e-12 7.6368576e-12 1.591326e-14 4.180101e-13 7.1844229e-05 1.4951236e-09 9.7641473e-09 4.3774169e-11 1.7630769e-08 3.1700188e-10 2.5081941e-08 1.0129805e-20 1.7949061e-14 3.79058e-14 4.2261172e-13 1.7693844e-10 1.0905552e-10 1.8141975e-08 1.8899052e-16 5.4832171e-08 1.1860242e-09 4.0207221e-07 3.2644248e-08 2.2675997e-05 6.0851333e-06 0.0038108303 5.9962994e-20 3.7181905e-12 1.5706691e-09 1.7836408e-06 1.2099207e-06 4.5252379e-07 0.001369765 5.0926634e-06 0.0 0.0 2.9191204e-13 1.6247336e-06 6.7354643e-17 0.0002179561 4.3849278e-05 0.22526753 0.0036002388 0.036556708 5.4408601e-07 2.8277701e-08 0.0 0.0 0.0 9.4294726e-17 1.1594328e-10 2.0355318e-15 1.4669703e-06 0.0016880209 0.00011156471 0.01459712 1.9063898e-05 7.6095346e-06 1.1819755e-10 1.9248239e-12 1.4195582e-20 0.0 3.2641782e-12 3.2895832e-05 6.6527658e-05 0.085186389 0.0087703319 0.36876065 0.0060596517 0.11452774 1.0647236e-05 8.3574213e-06 2.0153644e-12 2.2454595e-12 6.4640472e-19 7.4549049e-09 0.00035394101 0.0025308882 0.003277393 5.0000735e-05 0.0076581588 1.5303922e-05 3.1853295e-09 0.0 0.020970405 0.00083572625 0.032256207 0.00078089098 0.020415659 0.0005887819 0.038213969 2.1269681e-05 0.00024856014
990.30752 76399.042 4.2537271e-09 2.595454e+14 0.0 0.0 3.0465605e-10 0.0 3.1704419e-09 0.0 1.4222194e-13 1.1725321e-16 4.106599e-09 8.441303e-14 0.00032795373 0.0 0.00023234415 1.9825387e-09 5.3525873e-05 6.072816e-09 7.1898562e-05 1.8428447e-08 0.0038400822 0.0013783053 0.26568848 0.016424846 0.58342319 0.013885696 0.11433147 0.0 1.5187759e-09 3.7605367e-12 4.6000231e-10 5.3400129e-05 2.6676321e-09 1.22952e-07 3.6183729e-12 1.2082869e-10 2.8021248e-19 0.0 0.0 6.0631876e-09 1.5575833e-12 7.6368576e-12 1.591326e-14 4.180101e-13 7.1844229e-05 1.4951236e-09 9.7641473e-09 4.3774169e-11 1.7630769e-08 3.1700188e-10 2.5081941e-08 1.0129805e-20 1.7949061e-14 3.79058e-14 4.2261172e-13 1.7693844e-10 1.0905552e-10 1.8141975e-08 1.8899052e-16 5.4832171e-08 1.1860242e-09 4.0207221e-07 3.2644248e-08 2.2675997e-05 6.0851333e-06 0.0038108303 5.9962994e-20 3.7181905e-12 1.5706691e-09 1.7836408e-06 1.2099207e-06 4.5252379e-07 0.001369765 5.0926634e-06 0.0 0.0 2.9191204e-13 1.6247336e-06 6.7354643e-17 0.0002179561 4.3849278e-05 0.22526753 0.0036002388 0.036556708 5.4408601e-07 2.8277701e-08 0.0 0.0 0.0 9.4294726e-17 1.1594328e-10 2.0355318e-15 1.4669703e-06 0.0016880209 0.00011156471 0.01459712 1.9063898e-05 7.6095346e-06 1.1819755e-10 1.9248239e-12 1.4195582e-20 0.0 3.2641782e-12 3.2895832e-05 6.6527658e-05 0.085186389 0.0087703319 0.36876065 0.0060596517 0.11452774 1.0647236e-05 8.3574213e-06 2.0153644e-12 2.2454595e-12 6.4640472e-19 7.4549049e-09 0.00035394101 0.0025308882 0.003277393 5.0000735e-05 0.0076581588 1.5303922e-05 3.1853295e-09 0.0 0.020970405 0.00083572625 0.032256207 0.00078089098 0.020415659 0.0005887819 0.038213969 2.1269681e-05 0.00024856014
1050.8676 76411.983 4.2539537e-09 2.5958444e+14 0.0 0.0 3.0465605e-10 0.0 3.1704419e-09 0.0 1.4222194e-13 1.1725321e-16 4.106599e-09 8.441303e-14 0.00032795373 0.0 0.00023234415 1.9825387e-09 5.3525873e-05 6.072816e-09 7.1898562e-05 1.8428447e-08 0.0038400822 0.0013783053 0.26568848 0.016424846 0.58342319 0.013885696 0.11433147 0.0 1.5187759e-09 3.7605367e-12 4.6000231e-10 5.3400129e-05 2.6676321e-09 1.22952e-07 3.6183729e-12 1.2082869e-10 2.8021248e-19 0.0 0.0 6.0631876e-09 1.5575833e-12 7.6368576e-12 1.591326e-14 4.180101e-13 7.1844229e-05 1.4951236e-09 9.7641473e-09 4.3774169e-11 1.7630769e-08 3.1700188e-10 2.5081941e-08 1.0129805e-20 1.7949061e-14 3.79058e-14 4.2261172e-13 1.7693844e-10 1.0905552e-10 1.8141975e-08 1.8899052e-16 5.4832171e-08 1.1860242e-09 4.0207221e-07 3.2644248e-08 2.2675997e-05 6.0851333e-06 0.0038108303 5.9962994e-20 3.7181905e-12 1.5706691e-09 1.7836408e-06 1.2099207e-06 4.5252379e-07 0.001369765 5.0926634e-06 0.0 0.0 2.9191204e-13 1.6247336e-06 6.7354643e-17 0.0002179561 4.3849278e-05 0.22526753 0.0036002388 0.036556708 5.4408601e-07 2.8277701e-08 0.0 0.0 0.0 9.4294726e-17 1.1594328e-10 2.0355318e-15 1.4669703e-06 0.0016880209 0.00011156471 0.01459712 1.9063898e-05 7.6095346e-06 1.1819755e-10 1.9248239e-12 1.4195582e-20 0.0 3.2641782e-12 3.2895832e-05 6.6527658e-05 0.085186389 0.0087703319 0.36876065 0.0060596517 0.11452774 1.0647236e-05 8.3574213e-06 2.0153644e-12 2.2454595e-12 6.4640472e-19 7.4549049e-09 0.00035394101 0.0025308882 0.003277393 5.0000735e-05 0.0076581588 1.5303922e-05 3.1853295e-09 0.0 0.020970405 0.00083572625 0.032256207 0.00078089098 0.020415659 0.0005887819 0.038213969 2.1269681e-05 0.00024856014
1115.1545 76459.592 4.2563604e-09 2.5982137e+14 0.0 0.0 3.0465605e-10 0.0 3.1704419e-09 0.0 1.4222194e-13 1.1725321e-16 4.106599e-09 8.441303e-14 0.00032795373 0.0 0.00023234415 1.9825387e-09 5.3525873e-05 6.072816e-09 7.1898562e-05 1.8428447e-08 0.0038400822 0.0013783053 0.26568848 0.016424846 0.58342319 0.013885696 0.11433147 0.0 1.5187759e-09 3.7605367e-12 4.6000231e-10 5.3400129e-05 2.6676321e-09 1.22952e-07 3.6183729e-12 1.2082869e-10 2.8021248e-19 0.0 0.0 6.0631876e-09 1.5575833e-12 7.6368576e-12 1.591326e-14 4.180101e-13 7.1844229e-05 1.4951236e-09 9.7641473e-09 4.3774169e-11 1.7630769e-08 3.1700188e-10 2.5081941e-08 1.0129805e-20 1.7949061e-14 3.79058e-14 4.2261172e-13 1.7693844e-10 1.0905552e-10 1.8141975e-08 1.8899052e-16 5.4832171e-08 1.1860242e-09 4.0207221e-07 3.2644248e-08 2.2675997e-05 6.0851333e-06 0.0038108303 5.9962994e-20 3.7181905e-12 1.5706691e-09 1.7836408e-06 1.2099207e-06 4.5252379e-07 0.001369765 5.0926634e-06 0.0 0.0 2.9191204e-13 1.6247336e-06 6.7354643e-17 0.0002179561 4.3849278e-05 0.22526753 0.0036002388 0.036556708 5.4408601e-07 2.8277701e-08 0.0 0.0 0.0 9.4294726e-17 1.1594328e-10 2.0355318e-15 1.4669703e-06 0.0016880209 0.00011156471 0.01459712 1.9063898e-05 7.6095346e-06 1.1819755e-10 1.9248239e-12 1.4195582e-20 0.0 3.2641782e-12 3.2895832e-05 6.6527658e-05 0.085186389 0.0087703319 0.36876065 0.0060596517 0.11452774 1.0647236e-05 8.3574213e-06 2.0153644e-12 2.2454595e-12 6.4640472e-19 7.4549049e-09 0.00035394101 0.0025308882 0.003277393 5.0000735e-05 0.0076581588 1.5303922e-05 3.1853295e-09 0.0 0.020970405 0.00083572625 0.032256207 0.00078089098 0.020415659 0.0005887819 0.038213969 2.1269681e-05 0.00024856014
1183.3741 76633.367 4.2683079e-09 2.6087549e+14 0.0 0.0 3.0465605e-10 0.0 3.1704419e-09 0.0 1.4222194e-13 1.1725321e-16 4.106599e-09 8.441303e-14 0.00032795373 0.0 0.00023234415 1.9825387e-09 5.3525873e-05 6.072816e-09 7.1898562e-05 1.8428447e-08 0.0038400822 0.0013783053 0.26568848 0.016424846 0.58342319 0.013885696 0.11433147 0.0 1.5187759e-09 3.7605367e-12 4.6000231e-10 5.3400129e-05 2.6676321e-09 1.22952e-07 3.6183729e-12 1.2082869e-10 2.8021248e-19 0.0 0.0 6.0631876e-09 1.5575833e-12 7.6368576e-12 1.591326e-14 4.180101e-13 7.1844229e-05 1.4951236e-09 9.7641473e-09 4.3774169e-11 1.7630769e-08 3.1700188e-10 2.5081941e-08 1.0129805e-20 1.7949061e-14 3.79058e-14 4.2261172e-13 1.7693844e-10 1.0905552e-10 1.8141975e-08 1.8899052e-16 5.4832171e-08 1.1860242e-09 4.0207221e-07 3.2644248e-08 2.2675997e-05 6.0851333e-06 0.0038108303 5.9962994e-20 3.7181905e-12 1.5706691e-09 1.7836408e-06 1.2099207e-06 4.5252379e-07 0.001369765 5.0926634e-06 0.0 0.0 2.9191204e-13 1.6247336e-06 6.7354643e-17 0.0002179561 4.3849278e-05 0.22526753 0.0036002388 0.036556708 5.4408601e-07 2.8277701e-08 0.0 0.0 0.0 9.4294726e-17 1.1594328e-10 2.0355318e-15 1.4669703e-06 0.0016880209 0.00011156471 0.01459712 1.9063898e-05 7.6095346e-06 1.1819755e-10 1.9248239e-12 1.4195582e-20 0.0 3.2641782e-12 3.2895832e-05 6.6527658e-05 0.085186389 0.0087703319 0.36876065 0.0060596517 0.11452774 1.0647236e-05 8.3574213e-06 2.0153644e-12 2.2454595e-12 6.4640472e-19 7.4549049e-09 0.00035394101 0.0025308882 0.003277393 5.0000735e-05 0.0076581588 1.5303922e-05 3.1853295e-09 0.0 0.020970405 0.00083572625 0.032256207 0.00078089098 0.020415659 0.0005887819 0.038213969 2.1269681e-05 0.00024856014
1255.767 77312.12 4.290997e-09 2.6371868e+14 0.0 0.0 3.0799727e-10 0.0 3.2052134e-09 0.0 1.4378172e-13 1.1853849e-16 4.1516377e-09 8.5300834e-14 0.0003315505 0.0 0.00023489196 1.9970796e-09 5.4112568e-05 6.1392145e-09 7.2686284e-05 1.8294865e-08 0.0038117474 0.0013686112 0.2646997 0.016344849 0.58402006 0.013909554 0.11481 0.0 1.5353646e-09 3.7744047e-12 4.5794068e-10 5.3985766e-05 2.6968766e-09 1.2398169e-07 3.5998825e-12 1.1995969e-10 2.7813821e-19 0.0 0.0 6.1296141e-09 1.5716385e-12 7.5980103e-12 1.5801415e-14 4.1491165e-13 7.2632139e-05 1.5115191e-09 9.8676319e-09 4.3891287e-11 1.7512576e-08 3.1469228e-10 2.4895121e-08 1.0131264e-20 1.8145907e-14 3.8321499e-14 4.2724508e-13 1.7725609e-10 1.0839086e-10 1.8008734e-08 1.9106307e-16 5.5433507e-08 1.1990311e-09 4.064696e-07 3.2883175e-08 2.2561297e-05 6.0427079e-06 0.0037826474 6.0510971e-20 3.7589677e-12 1.5878945e-09 1.8032019e-06 1.2219859e-06 4.5064478e-07 0.0013600786 5.0552122e-06 0.0 0.0 2.9511344e-13 1.642552e-06 6.8093319e-17 0.000220344 4.4283051e-05 0.2245665 0.0035761194 0.03629025 5.400488e-07 2.8066683e-08 0.0 0.0 0.0 9.5328744e-17 1.1721482e-10 2.0578553e-15 1.4830586e-06 0.0017054764 0.0001113874 0.014500023 1.8926374e-05 7.5531738e-06 1.1731595e-10 1.9104368e-12 1.4164156e-20 0.0 3.2999762e-12 3.32566e-05 6.7257268e-05 0.086120468 0.008864884 0.36917859 0.0060232113 0.11371353 1.0568936e-05 8.2952015e-06 2.000303e-12 2.2286632e-12 6.5338418e-19 7.5366629e-09 0.00035782266 0.0025586442 0.0033129978 5.022743e-05 0.0076146533 1.5198108e-05 3.1619877e-09 0.0 0.021200387 0.00084489156 0.032609951 0.00078942176 0.020554277 0.00058611685 0.037957123 2.1116321e-05 0.00024671901
